Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code,Purchase Unit Code,Cost,Price,Alert Quantity,Tax Rate,Tax Method,Image,Sub category Code,Product Variants,Product Custom Field 1,Product Custom Field 2,Product Custom Field 3,Product Custom Field 4,Product Custom Field 5,Product Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No.,Supplier Price,Quantity,Details,Product Details
CRANKSHAFT STD FOR 475DI/E40/350DI  3 CY,000015502RD,code128,,Default Category,nos,nos,nos,7258.7165,8940.677966,,GST @18%,,no_image.png,,,,,,,,,84831092,,,,,0,,
"WIRING HARNESS, ENGINE TO PANEL-DOMESTIC",0315BAV00340N,code128,,Default Category,nos,nos,nos,7302.44258,10570.33898,,GST @18%,,no_image.png,,,,,,,,,85441110,,,,,0,,
AMF CONTROLLER DGC-1-GK-INCT,006019530H91,code128,,Default Category,nos,nos,nos,7312.61971,9407.03125,,GST @28%,,no_image.png,,,,,,,,,87089900,,,,,0,,
TIMING CAS E,0302AAV00400NI,code128,,Default Category,nos,nos,nos,7324.992,9112.5,,GST @28%,,no_image.png,,,,,,,,,84099990,,,,,0,,
ELECTRONIC THROTTLE BODY,0305BAC01411N,code128,,Default Category,nos,nos,nos,7332.97211,9242.96875,,GST @28%,,no_image.png,,,,,,,,,87089900,,,,,0,,
MANUAL DG CONTROLLER- F P ENGINE MCP-BA-,006019518H91,code128,,Default Category,nos,nos,nos,7342.65616,8337.5,,GST @28%,,no_image.png,,,,,,,,,87089900,,,,,0,,
FAN 315 FRAME,006020307H91,code128,,Default Category,nos,nos,nos,7352.79214,9811.71875,,GST @28%,,no_image.png,,,,,,,,,87089900,,,,,0,,
WIRING HARNESS- GENSET APPLICATION,0315BAV00480N,code128,,Default Category,nos,nos,nos,7367.75725,9172.033898,,GST @18%,,no_image.png,,,,,,,,,85441110,,,,,0,,
Arjun Upg. - FENDER ASSEMBLY LH-TRACTOR,007538821C91,code128,,Default Category,nos,nos,nos,7429.114,9143.75,,GST @28%,,no_image.png,,,,,,,,,87089900,,,,,0,,
ALTERNATOR,005556257R91,code128,,Default Category,nos,nos,nos,7442.24911,9807.627119,,GST @18%,,no_image.png,,,,,,,,,85016100,,,,,0,,
ENGINE REPAIR KIT,006000067R92,code128,,Default Category,nos,nos,nos,7442.89218,9808.474576,,GST @18%,,no_image.png,,,,,,,,,82055990,,,,,0,,
"SILENCER ASSLY FOR 140,160,180KVA WITH M",006014590H91,code128,,Default Category,nos,nos,nos,7456.1219,9631.355932,,GST @18%,,no_image.png,,,,,,,,,90322010,,,,,0,,
FRONT COVER   FRONT HALF,0311DBA00210N,code128,,Default Category,nos,nos,nos,7460.65297,9403.90625,,GST @28%,,no_image.png,,,,,,,,,87089900,,,,,0,,
CRANK SHAFT 255DI LS WITH DOWEL PIN,005557788R11,code128,,Default Category,nos,nos,nos,7475.084,10087.28814,,GST @18%,,no_image.png,,,,,,,,,84831092,,,,,0,,
"ASSLY,FLYWHEEL WITH RINGGEAR 4CYL.ENGINE",0312CAV00360N,code128,,Default Category,nos,nos,nos,7481.364,10095.76271,,GST @18%,,no_image.png,,,,,,,,,84212300,,,,,0,,
CRANK SHAFT MDI 3 CYL,006004319B2-PB,code128,,Default Category,nos,nos,nos,7482.04848,10744.0678,,GST @18%,,no_image.png,,,,,,,,,84831092,,,,,0,,
ASR ELECTRONIC REGULATOR- 5KVA 1PH MECC,006019058H91,code128,,Default Category,nos,nos,nos,7513.97563,8532.03125,,GST @28%,,no_image.png,,,,,,,,,87089900,,,,,0,,
FUEL OPTIMIZER,006007123H1,code128,,Default Category,nos,nos,nos,7523.74646,10039.84375,,GST @28%,,no_image.png,,,,,,,,,87089900,,,,,0,,
4P 100A CONTACTOR L&T,006025654H91,code128,,Default Category,nos,nos,nos,7531.0987,11025.42373,,GST @18%,,no_image.png,,,,,,,,,85030010,,,,,0,,
WIRING HARNESS -CNG GENSET APPL,0315BAV00650N,code128,,Default Category,nos,nos,nos,7546.37592,9989.84375,,GST @28%,,no_image.png,,,,,,,,,87089900,,,,,0,,
C. V. - 60 HP REG. WITH ADJUSTABLE RVP,007202923C91,code128,,Default Category,nos,nos,nos,7559.23775,9303.90625,,GST @28%,,no_image.png,,,,,,,,,87089900,,,,,0,,
ALTERNATOR MSI CNG,1402AAA05091N,code128,,Default Category,nos,nos,nos,7577.493,9023.4375,,GST @28%,,no_image.png,,,,,,,,,85111000,,,,,0,,
