Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code,Purchase Unit Code,Cost,Price,Alert Quantity,Tax Rate,Tax Method,Image,Sub category Code,Product Variants,Product Custom Field 1,Product Custom Field 2,Product Custom Field 3,Product Custom Field 4,Product Custom Field 5,Product Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No.,Supplier Price,Quantity,Details,Product Details
SILICONE HOSE_TURBO TO PIPE_NGEF 6 CYL,006010468H1,code128,,Default Category,nos1,nos1,nos1,295.15,437,5,GST @18%,exclusive,no_image.png,,,,,,,,,40093100,,,,,0,,
RADIATOR WITH WATER LEVEL WTH MTG AND RE,006010471H91,code128,,Default Category,nos1,nos1,nos1,3114.88,4960,5,GST @18%,exclusive,no_image.png,,,,,,,,,85030010,,,,,0,,
BRACKET RADIATOR MOUNTING,006010472H91,code128,,Default Category,nos1,nos1,nos1,1785.14,2721,5,GST @18%,exclusive,no_image.png,,,,,,,,,83025000,,,,,0,,
HOSE AIR CLEANER TO TC_NGEF 6 CYL,006010487H1,code128,,Default Category,nos1,nos1,nos1,727.22,1158,5,GST @18%,exclusive,no_image.png,,,,,,,,,40091100,,,,,0,,
OIL FILTER,006010488B1,code128,,Default Category,nos1,nos1,nos1,125.61,217,5,GST @18%,exclusive,no_image.png,,,,,,,,,84212300,,,,,0,,
OIL_FILTER_AGNI,006010488B1-PB,code128,,Default Category,nos1,nos1,nos1,124.27,184,5,GST @18%,exclusive,no_image.png,,,,,,,,,84212300,,,,,0,,
PIPE TC TO INTAKE MANIFOLD_NGEF 6 CYL,006010489H1,code128,,Default Category,nos1,nos1,nos1,663.93,1012,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
ENGINE LIFTING BRACKET WITH REAR CONNECT,006010530H1,code128,,Default Category,nos1,nos1,nos1,244.29,389,5,GST @18%,exclusive,no_image.png,,,,,,,,,83025000,,,,,0,,
GASKET REAR CYLINDER HEAD,006010595H1,code128,,Default Category,nos1,nos1,nos1,14.44,23,5,GST @18%,exclusive,no_image.png,,,,,,,,,40169340,,,,,0,,
STUB PIPE_NGEF 6 CYLINDER,006010598H1,code128,,Default Category,nos1,nos1,nos1,694.94,1187,5,GST @28%,exclusive,no_image.png,,,,,,,,,87081010,,,,,0,,
5KVA 1PH MECC ALTE ALTERNATOR,006010601H91,code128,,Default Category,nos1,nos1,nos1,33782.27,49100,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
PIPE OIL COOLER TO WATER PUMP 6 CYLINDER,006010605H1,code128,,Default Category,nos1,nos1,nos1,374.92,597,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
