Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code,Purchase Unit Code,Cost,Price,Alert Quantity,Tax Rate,Tax Method,Image,Sub category Code,Product Variants,Product Custom Field 1,Product Custom Field 2,Product Custom Field 3,Product Custom Field 4,Product Custom Field 5,Product Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No.,Supplier Price,Quantity,Details,Product Details
30KVA 1PH EXPORT AMF WITH DSE 4520-02,006022760H91,code128,,Default Category,nos1,nos1,nos1,56199.09,82936,5,GST @28%,exclusive,no_image.png,,,,,,,,,84089090,,,,,0,,
AVM PAD PH-3B (2 PIECE MOUNT),006022889H1,code128,,Default Category,nos1,nos1,nos1,587.58,948,5,GST @18%,exclusive,no_image.png,,,,,,,,,85044029,,,,,0,,
PLAIN WASHER 71.4 X 16.7 X 4.8,006022890H1,code128,,Default Category,nos1,nos1,nos1,36.72,59,5,GST @18%,exclusive,no_image.png,,,,,,,,,73181500,,,,,0,,
MOUNTING LEGS REAR - TM,006022893H1,code128,,Default Category,nos1,nos1,nos1,416.99,664,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
"LED TUBE -12V DC,2W (OVP)",006022975H91,code128,,Default Category,nos1,nos1,nos1,359.22,572,5,GST @28%,exclusive,no_image.png,,,,,,,,,84089090,,,,,0,,
SD CANOPY 20KVA (S)CPCB-II,006022985H91,code128,,Default Category,nos1,nos1,nos1,27566.58,70993,5,GST @18%,exclusive,no_image.png,,,,,,,,,85030010,,,,,0,,
EGR ELBOW_22.5KVA,006022992H11,code128,,Default Category,nos1,nos1,nos1,698.96,1113,5,GST @18%,exclusive,no_image.png,,,,,,,,,73072200,,,,,0,,
100KVA 3PH ALTERNATOR CG- SAE 3/10,006023042H91,code128,,Default Category,nos1,nos1,nos1,143867.29,223716,5,GST @28%,exclusive,no_image.png,,,,,,,,,84089090,,,,,0,,
125KVA 3P MCP  WITHOUT DSE 4520,006023071H91,code128,,Default Category,nos1,nos1,nos1,33927.5,56230,5,GST @28%,exclusive,no_image.png,,,,,,,,,84089090,,,,,0,,
140KVA 3P MCP  WITHOUT DSE 4520,006023072H91,code128,,Default Category,nos1,nos1,nos1,36178.07,59960,5,GST @28%,exclusive,no_image.png,,,,,,,,,84089090,,,,,0,,
160KVA 3P MCP WITHOUT DSE 4520,006023073H91,code128,,Default Category,nos1,nos1,nos1,36178.07,59960,5,GST @28%,exclusive,no_image.png,,,,,,,,,84089090,,,,,0,,
100KVA 3P MCP WITHOUT DSE 4520,006023074H91,code128,,Default Category,nos1,nos1,nos1,33546.77,55599,5,GST @28%,exclusive,no_image.png,,,,,,,,,84089090,,,,,0,,
82.5KVA 3P MCP WITHOUT DSE 4520,006023075H91,code128,,Default Category,nos1,nos1,nos1,28195.48,46730,5,GST @28%,exclusive,no_image.png,,,,,,,,,84089090,,,,,0,,
180-200KVA 3P MCP WITHOUT DSE 4520,006023076H91,code128,,Default Category,nos1,nos1,nos1,45868.79,76021,5,GST @28%,exclusive,no_image.png,,,,,,,,,84089090,,,,,0,,
82.5KVA 3P AMF WITH DSE 4520,006023077H91,code128,,Default Category,nos1,nos1,nos1,74530.07,123523,5,GST @28%,exclusive,no_image.png,,,,,,,,,84089090,,,,,0,,
100KVA 3P AMF WITHOUT DSE 4520,006023078H91,code128,,Default Category,nos1,nos1,nos1,98598.5,163413,5,GST @28%,exclusive,no_image.png,,,,,,,,,84089090,,,,,0,,
125KVA 3P AMF WITH DSE 4520,006023079H91,code128,,Default Category,nos1,nos1,nos1,101061.46,167495,5,GST @28%,exclusive,no_image.png,,,,,,,,,84089090,,,,,0,,
160KVA 3P AMF WITH DSE 4520,006023081H91,code128,,Default Category,nos1,nos1,nos1,116457.65,193012,5,GST @28%,exclusive,no_image.png,,,,,,,,,84089090,,,,,0,,
180-200KVA 3P AMF WITH DSE 4520,006023082H91,code128,,Default Category,nos1,nos1,nos1,181457.49,300740,5,GST @28%,exclusive,no_image.png,,,,,,,,,84089090,,,,,0,,
50 KVA 3PH EXPORT AMF W. DSE4520,006023083H91,code128,,Default Category,nos1,nos1,nos1,47589,78872,5,GST @28%,exclusive,no_image.png,,,,,,,,,84089090,,,,,0,,
62.5 KVA 3PH EXPORT AMF W. DSE4520,006023084H91,code128,,Default Category,nos1,nos1,nos1,67781.38,112338,5,GST @28%,exclusive,no_image.png,,,,,,,,,84089090,,,,,0,,
75 KVA 3PH EXPORT AMF W. DSE4520,006023085H91,code128,,Default Category,nos1,nos1,nos1,88778.65,130413,5,GST @28%,exclusive,no_image.png,,,,,,,,,84089090,,,,,0,,
EXHAUST BELLOW PIPE 25KVA SI CPCB-II,006023095H91,code128,,Default Category,nos1,nos1,nos1,1582.56,2520,5,GST @28%,exclusive,no_image.png,,,,,,,,,84099949,,,,,0,,
BELLOW PIPE ASSY 62.5KVA COMPACT,006023097H91,code128,,Default Category,nos1,nos1,nos1,4161.13,6626,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
62.5KVA SI COMPACT CANOPY (EMPTY) CRCA,006023102H91,code128,,Default Category,nos1,nos1,nos1,98854.25,140183,5,GST @18%,exclusive,no_image.png,,,,,,,,,85030090,,,,,0,,
EXHAUST  PIPE 22.5KVA ASSLY,006023219H91,code128,,Default Category,nos1,nos1,nos1,1574.54,2400,5,GST @28%,exclusive,no_image.png,,,,,,,,,84089090,,,,,0,,
SILENCER 62.5KVA COMPACT,006023224H91,code128,,Default Category,nos1,nos1,nos1,5575.85,8499,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
PISTON-94MM DIA CPCB II,006023239H1,code128,,Default Category,nos1,nos1,nos1,967.75,1541,5,GST @28%,exclusive,no_image.png,,,,,,,,,84099912,,,,,0,,
4 Cyl MHEPL EWH,006023327H91,code128,,Default Category,nos1,nos1,nos1,3489.17,5556,5,GST @28%,exclusive,no_image.png,,,,,,,,,84089090,,,,,0,,
FUEL FILLING NECK WITH THREAADED CAP,006023333H91,code128,,Default Category,nos1,nos1,nos1,298.53,442,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
FUNNEL FOR FUEL FILLING,006023335H1,code128,,Default Category,nos1,nos1,nos1,106.76,170,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
6 CYL ELECTRONIC MHEPL EWH,006023366H91,code128,,Default Category,nos1,nos1,nos1,2642.72,3841,5,GST @28%,exclusive,no_image.png,,,,,,,,,84089090,,,,,0,,
BE142 GENSET CONTROLLER,006023383H91,code128,,Default Category,nos1,nos1,nos1,18529.22,28640,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
TAIL PIPE 0.3METER 30-40KVA SI RETAIL,006023437H1,code128,,Default Category,nos1,nos1,nos1,967.22,1495,5,GST @28%,exclusive,no_image.png,,,,,,,,,84099949,,,,,0,,
TAIL PIPE 0.3METER 25KVA SI RETAIL,006023440H1,code128,,Default Category,nos1,nos1,nos1,667.67,1032,5,GST @28%,exclusive,no_image.png,,,,,,,,,84099949,,,,,0,,
6 CYL MECHANICAL MHEPL EWH,006023456H91,code128,,Default Category,nos1,nos1,nos1,2792.44,4102,5,GST @18%,exclusive,no_image.png,,,,,,,,,85443000,,,,,0,,
MHEPL 4CYL CANOPY HARNESS 82.5-100kVA,006023461H91,code128,,Default Category,nos1,nos1,nos1,1163.04,1722,5,GST @18%,exclusive,no_image.png,,,,,,,,,85443000,,,,,0,,
6CYL MHEPL CANOPY HARNESS 125-200kVA,006023462H91,code128,,Default Category,nos1,nos1,nos1,1197.06,1613,5,GST @18%,exclusive,no_image.png,,,,,,,,,85030010,,,,,0,,
LKVA LIFTING INSTRUCTION STICKER,006023465H1,code128,,Default Category,nos1,nos1,nos1,36.78,55,5,GST @18%,exclusive,no_image.png,,,,,,,,,39199010,,,,,0,,
