Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code,Purchase Unit Code,Cost,Price,Alert Quantity,Tax Rate,Tax Method,Image,Sub category Code,Product Variants,Product Custom Field 1,Product Custom Field 2,Product Custom Field 3,Product Custom Field 4,Product Custom Field 5,Product Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No.,Supplier Price,Quantity,Details,Product Details
KNOB HI-LOW LEVER SIDESHIFT,007535955C1,code128,,Default Category,nos1,nos1,nos1,45.27,69,5,GST @18%,exclusive,no_image.png,,,,,,,,,39269099,,,,,0,,
/nOT PLATE CPTE. LH (NST),007536741B11,code128,,Default Category,nos1,nos1,nos1,564.87,861,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
BKT CLUTCH PEDAL MTG,007537015B11,code128,,Default Category,nos1,nos1,nos1,425.89,619,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089300,,,,,0,,
PIPE HYDRAULIC PRESSURE (BP),007537023B92,code128,,Default Category,nos1,nos1,nos1,656.06,1000,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
SIDE PLATE HOOD PANNEL,007537293B1,code128,,Default Category,nos1,nos1,nos1,42.64,65,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
PEDAL BRAKE COMPLETE LH,007537387B12,code128,,Default Category,nos1,nos1,nos1,787.27,1200,5,GST @28%,exclusive,no_image.png,,,,,,,,,87083000,,,,,0,,
DASHBOARD PANEL ASSY,007537434B91,code128,,Default Category,nos1,nos1,nos1,209.97,348,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
BAZEL,007537447C1,code128,,Default Category,nos1,nos1,nos1,261.11,398,5,GST @28%,exclusive,no_image.png,,,,,,,,,87085000,,,,,0,,
CANOPY CANVAS,007537928B1,code128,,Default Category,nos1,nos1,nos1,1372.33,2162,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
GUARD ASSEMBLY (FRONT GRILL PERFORATED),007538001D91,code128,,Default Category,nos1,nos1,nos1,448.13,706,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
ASSY FRONT GRILL-COMPLETE,007538171C91,code128,,Default Category,nos1,nos1,nos1,3038.26,4838,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
Arjun Upg. - FENDER ASSEMBLY LH-TRACTOR,007538821C91,code128,,Default Category,nos1,nos1,nos1,7429.11,11704,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
FLOOR MAT RH,007538827C1,code128,,Default Category,nos1,nos1,nos1,359.52,548,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
RIM WITH LUG ASSY,007539841B1,code128,,Default Category,nos1,nos1,nos1,3741.51,5703,5,GST @28%,exclusive,no_image.png,,,,,,,,,87087000,,,,,0,,
FENDER EXTENSION FRONT RH,007540054C1,code128,,Default Category,nos1,nos1,nos1,660,1006,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
CAP FUEL TANK,007540458B91,code128,,Default Category,nos1,nos1,nos1,224.82,358,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
FRONT FLOOR RH,007540537B1,code128,,Default Category,nos1,nos1,nos1,698.05,1064,5,GST @28%,exclusive,no_image.png,,,,,,,,,87081010,,,,,0,,
GROMMET RUBBER,007540712C1,code128,,Default Category,nos1,nos1,nos1,7.87,12,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
STRIP SIDE (CRANK CASE OIL PAN),007541737B1,code128,,Default Category,nos1,nos1,nos1,67.2,107,5,GST @28%,exclusive,no_image.png,,,,,,,,,84099949,,,,,0,,
STRIP SIDE (CRANK CASE OIL PAN),007541738B1,code128,,Default Category,nos1,nos1,nos1,47.24,72,5,GST @18%,exclusive,no_image.png,,,,,,,,,84839000,,,,,0,,
BEL WASHER D11/6.4 0.5 THK C70.,0075550040-LOM,code128,,Default Category,nos1,nos1,nos1,2.51,4,5,GST @18%,exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,
BEL WASHER D15/8.4 0.8 THK C70.,0075550290-LOM,code128,,Default Category,nos1,nos1,nos1,2.52,4,5,GST @18%,exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,
SPRING WASHER D14.2/8.2 1.6 TH.,0075650070-LOM,code128,,Default Category,nos1,nos1,nos1,2.52,4,5,GST @18%,exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,
FRONT AXLE WITH IRON ORE,007600039R93,code128,,Default Category,nos1,nos1,nos1,6724.62,10250,5,GST @28%,exclusive,no_image.png,,,,,,,,,87085000,,,,,0,,
