Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code,Purchase Unit Code,Cost,Price,Alert Quantity,Tax Rate,Tax Method,Image,Sub category Code,Product Variants,Product Custom Field 1,Product Custom Field 2,Product Custom Field 3,Product Custom Field 4,Product Custom Field 5,Product Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No.,Supplier Price,Quantity,Details,Product Details
RING SETS- NEF RINGS,006000568F91,code128,,Default Category,nos1,nos1,nos1,1038.93,1510,5,GST @18%,exclusive,no_image.png,,,,,,,,,84818050,,,,,0,,
PISTON ASSEMBLY,006000571F91,code128,,Default Category,nos1,nos1,nos1,115.75,180,5,GST @28%,exclusive,no_image.png,,,,,,,,,84099949,,,,,0,,
ASSY. PISTON COOLING ALT # 000020778E05,006000571F91-PB,code128,,Default Category,nos1,nos1,nos1,118.97,189,5,GST @28%,exclusive,no_image.png,,,,,,,,,84099930,,,,,0,,
SPIDER COUPLING HYDRAULIC PUMP,006000598F1,code128,,Default Category,nos1,nos1,nos1,735.6,1137,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
HOSE RADIATOR,006000603F1,code128,,Default Category,nos1,nos1,nos1,146.62,228,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089100,,,,,0,,
RADIATOR HOSE,006000604F1,code128,,Default Category,nos1,nos1,nos1,139.34,221,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089100,,,,,0,,
FAN ADAPTER NEW 65 ( C.I ),006000617F1,code128,,Default Category,nos1,nos1,nos1,331.58,528,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089100,,,,,0,,
PLUG CONNECTING,006000622F1,code128,,Default Category,nos1,nos1,nos1,61.47,105,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
CONNECTING PLUG FOR 10 PLATE OIL CO,006000622F1-PB,code128,,Default Category,nos1,nos1,nos1,85.41,136,5,GST @28%,exclusive,no_image.png,,,,,,,,,84099990,,,,,0,,
CLIP WORM HOSE AC SIDE (DIA102 mm),006000629F1,code128,,Default Category,nos1,nos1,nos1,15.82,23,5,GST @18%,exclusive,no_image.png,,,,,,,,,83023090,,,,,0,,
CLIP WORM HOSE EPDM AC SIDE-102 DIA,006000629F1-PB,code128,,Default Category,nos1,nos1,nos1,19.47,31,5,GST @18%,exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,
CLAMP (CONSTANT TORQUE ),006000631F1,code128,,Default Category,nos1,nos1,nos1,65.36,95,5,GST @18%,exclusive,no_image.png,,,,,,,,,73182990,,,,,0,,
PIPE FUEL SPILL (INJECTOR TO T CONNECTOR,006000639F1,code128,,Default Category,nos1,nos1,nos1,131.14,224,5,GST @18%,exclusive,no_image.png,,,,,,,,,73041910,,,,,0,,
OIL COOLER (10 PLATE),006000646F1,code128,,Default Category,nos1,nos1,nos1,2462.32,3829,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
OIL COOLER - 10 PLATE- ARJUN 6500,006000646F1-PB,code128,,Default Category,nos1,nos1,nos1,2942.18,4685,5,GST @28%,exclusive,no_image.png,,,,,,,,,84099990,,,,,0,,
BRACKET ASSEMBLY AIR CLEANER,006000650F91,code128,,Default Category,nos1,nos1,nos1,485.35,829,5,GST @18%,exclusive,no_image.png,,,,,,,,,83023090,,,,,0,,
ASSEMBLY BRACKET AIR CLEANER (NEW65,006000650F91-PB,code128,,Default Category,nos1,nos1,nos1,641.19,1021,5,GST @28%,exclusive,no_image.png,,,,,,,,,84099990,,,,,0,,
GASKET (CPI AND INTAKE MANIFOLD),006000651F1,code128,,Default Category,nos1,nos1,nos1,33.28,53,5,GST @18%,exclusive,no_image.png,,,,,,,,,84841090,,,,,0,,
COVER CYLINDER HEAD (WITH DEFLECTOR PLAT,006000653F91,code128,,Default Category,nos1,nos1,nos1,1286.77,2049,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
GASKET - THER HSG & WAT MANIFOLD - 245DI,006000653H1,code128,,Default Category,nos1,nos1,nos1,3.94,6,5,GST @18%,exclusive,no_image.png,,,,,,,,,84841090,,,,,0,,
