Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code,Purchase Unit Code,Cost,Price,Alert Quantity,Tax Rate,Tax Method,Image,Sub category Code,Product Variants,Product Custom Field 1,Product Custom Field 2,Product Custom Field 3,Product Custom Field 4,Product Custom Field 5,Product Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No.,Supplier Price,Quantity,Details,Product Details
HEAD LAMP ASSY,1701AAA04461N,code128,,Default Category,nos1,nos1,nos1," 1,067.82 ",1552,5,18%,Exclusive,no_image.png,,,,,,,,,85122010,,,,,0,,
 LAMDA SENSOR FOR MMT CNG,1805BAA00330N,code128,,Default Category,nos1,nos1,nos1," 2,929.22 ",4726,5,No Tax,Exclusive,no_image.png,,,,,,,,,90271000,,,,,0,,
BEARING [201],1900910201079-M,code128,,Default Category,nos1,nos1,nos1, 237.38 ,378,5,18%,Exclusive,no_image.png,,,,,,,,,84139190,,,,,0,,
BEARING [202),1900910202079-M,code128,,Default Category,nos1,nos1,nos1, 240.86 ,387,5,18%,Exclusive,no_image.png,,,,,,,,,84139190,,,,,0,,
UNION HOLED BOLT  M10,19010178-LOM,code128,,Default Category,nos1,nos1,nos1, 35.13 ,60,5,18%,Exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,
AEROSOL - CLEAR LAQUER,20.172,code128,,Default Category,nos1,nos1,nos1, 188.95 ,288,5,18%,Exclusive,no_image.png,,,,,,,,,32081010,,,,,0,,
SLIDING FRAME ASSEMBLY,2001AAA00340N,code128,,Default Category,nos1,nos1,nos1," 57,111.31 ",83007,5,18%,Exclusive,no_image.png,,,,,,,,,84314930,,,,,0,,
SLIDING FRAME ASSEMBLY GREY,2001AAA00340NQF,code128,,Default Category,nos1,nos1,nos1," 53,529.90 ",81593,5,18%,Exclusive,no_image.png,,,,,,,,,84313990,,,,,0,,
PIN ASSEMBLY,2001BAA00230N,code128,,Default Category,nos1,nos1,nos1," 2,223.71 ",3232,5,18%,Exclusive,no_image.png,,,,,,,,,84314930,,,,,0,,
PIN ASSEMBLY,2001BAA00260N,code128,,Default Category,nos1,nos1,nos1," 1,733.97 ",2643,5,18%,Exclusive,no_image.png,,,,,,,,,72155090,,,,,0,,
PIN ASSY BOOM CYL CONT,2001BAA01440N,code128,,Default Category,nos1,nos1,nos1," 1,561.42 ",2380,5,18%,Exclusive,no_image.png,,,,,,,,,73182990,,,,,0,,
SPACER,2001CAA00200N,code128,,Default Category,nos1,nos1,nos1, 531.16 ,772,5,18%,Exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,
BUSH,2001CAA00280N,code128,,Default Category,nos1,nos1,nos1, 509.83 ,741,5,18%,Exclusive,no_image.png,,,,,,,,,84314930,,,,,0,,
BUSH,2001CAA00300N,code128,,Default Category,nos1,nos1,nos1, 516.71 ,751,5,18%,Exclusive,no_image.png,,,,,,,,,84314930,,,,,0,,
DIPPER ASSY GREY,2001DAA01000NQF,code128,,Default Category,nos1,nos1,nos1," 69,688.01 ",106222,5,18%,Exclusive,no_image.png,,,,,,,,,84314930,,,,,0,,
BUSH ( BEARING SLEEVE),2001HAA00100N,code128,,Default Category,nos1,nos1,nos1, 350.21 ,509,5,18%,Exclusive,no_image.png,,,,,,,,,74122019,,,,,0,,
PIN ASSEMBLY,2001JAA00040N,code128,,Default Category,nos1,nos1,nos1, 791.23 ,1150,5,18%,Exclusive,no_image.png,,,,,,,,,73182990,,,,,0,,
PIN,2002BAA00190N,code128,,Default Category,nos1,nos1,nos1, 754.77 ,1097,5,18%,Exclusive,no_image.png,,,,,,,,,73182990,,,,,0,,
CYLINDER LINER KOEL,201904000-KIR,code128,,Default Category,nos1,nos1,nos1," 1,431.13 ",2112,5,18%,Exclusive,no_image.png,,,,,,,,,85013220,,,,,0,,
