Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code,Purchase Unit Code,Cost,Price,Alert Quantity,Tax Rate,Tax Method,Image,Sub category Code,Product Variants,Product Custom Field 1,Product Custom Field 2,Product Custom Field 3,Product Custom Field 4,Product Custom Field 5,Product Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No.,Supplier Price,Quantity,Details,Product Details
PULLEY IDLER,006009747F1,code128,,Default Category,nos,nos,nos,210.41614,292.1875,,GST @28%,Exclusive,no_image.png,,,,,,,,,84099949,,,,,0,,
40KVA_BRACKET AIRCLEANER,006007700H11,code128,,Default Category,nos,nos,nos,212.264,286.440678,,GST @18%,Exclusive,no_image.png,,,,,,,,,84314990,,,,,0,,
"2P,2WAY WITH OFF & W/O JUMPER SELECTOR S",006025756H91,code128,,Default Category,nos,nos,nos,212.3233,250,,GST @18%,Exclusive,no_image.png,,,,,,,,,85030010,,,,,0,,
Pressure Cap_7.5kVA,006026683H1,code128,,Default Category,nos,nos,nos,212.52198,283.59375,,GST @28%,Exclusive,no_image.png,,,,,,,,,84089090,,,,,0,,
COMPENSATOR,007204243D1,code128,,Default Category,nos,nos,nos,213.21464,268.75,,GST @28%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
AUXILARY RELAY 12VDC 4C/O CONTACT PLUGIN,006007806H91,code128,,Default Category,nos,nos,nos,213.47291,290.6779661,,GST @18%,Exclusive,no_image.png,,,,,,,,,85030010,,,,,0,,
MECHANICAL SRVICE INDICATOR FO,006001752B1-PB,code128,,Default Category,nos,nos,nos,213.52,265.625,,GST @28%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
FUEL SUPPLY PIPE,006002736H91,code128,,Default Category,nos,nos,nos,213.77312,298.3050847,,GST @18%,Exclusive,no_image.png,,,,,,,,,85030010,,,,,0,,
ALTERNATOR BELT GUARD,006020756H11,code128,,Default Category,nos,nos,nos,214.27836,310.1694915,,GST @18%,Exclusive,no_image.png,,,,,,,,,40103999,,,,,0,,
LAMP (POSITION & TURN - YUVRAJ),007700845B91,code128,,Default Category,nos,nos,nos,214.53162,277.1186441,,GST @18%,Exclusive,no_image.png,,,,,,,,,85122010,,,,,0,,
VALVE BRIDGE,0310BBA00310N,code128,,Default Category,nos,nos,nos,214.776,267.1875,,GST @28%,Exclusive,no_image.png,,,,,,,,,84099941,,,,,0,,
"NDE VENT COVER""200 FRAME",006020334H91,code128,,Default Category,nos,nos,nos,214.86382,286.71875,,GST @28%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
MANIFOLD EXHAUST - 235DI,006001746B1,code128,,Default Category,nos,nos,nos,216.04142,245.3125,,GST @28%,Exclusive,no_image.png,,,,,,,,,87081010,,,,,0,,
SET OF VALVE,005555185R91,code128,,Default Category,nos,nos,nos,216.07152,262.5,,GST @28%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
HOSE  REDUCER WATER INLET CONNECT,0304ABA00080N,code128,,Default Category,nos,nos,nos,216.6202,313.559322,,GST @18%,Exclusive,no_image.png,,,,,,,,,40093100,,,,,0,,
"AMMETER, GENSET APP.",0315CAV00230N,code128,,Default Category,nos,nos,nos,216.6202,313.559322,,GST @18%,Exclusive,no_image.png,,,,,,,,,85030010,,,,,0,,
SHAFT INTERMEDIATE,1104AAA04020N,code128,,Default Category,nos,nos,nos,217.15586,258.59375,,GST @28%,Exclusive,no_image.png,,,,,,,,,87085000,,,,,0,,
IDLER GEAR SHAFT 6 CYLINDER,006009847H1,code128,,Default Category,nos,nos,nos,217.20566,289.84375,,GST @28%,Exclusive,no_image.png,,,,,,,,,87084000,,,,,0,,
