Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code,Purchase Unit Code,Cost,Price,Alert Quantity,Tax Rate,Tax Method,Image,Sub category Code,Product Variants,Product Custom Field 1,Product Custom Field 2,Product Custom Field 3,Product Custom Field 4,Product Custom Field 5,Product Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No.,Supplier Price,Quantity,Details,Product Details
NUT CONNECTING ROD BOLT,005554069R1,code128,,Default Category,nos1,nos1,nos1,7.61,13,5,GST @18%,exclusive,no_image.png,,,,,,,,,73181600,,,,,0,,
NUT CONNECTING ROD BOLT,005554069R1-PB,code128,,Default Category,nos1,nos1,nos1, -   ,15,5,GST @18%,exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,
PISTON AND PIN ASSEMBLY,005554074R91,code128,,Default Category,nos1,nos1,nos1,694.82,1235,5,GST @28%,exclusive,no_image.png,,,,,,,,,84099949,,,,,0,,
PISTON & PIN ASSY,005554074R91-PB,code128,,Default Category,nos1,nos1,nos1,913.9,1561,5,GST @28%,exclusive,no_image.png,,,,,,,,,84091000,,,,,0,,
PISTON AND PIN ASSENBLY,005554075R91,code128,,Default Category,nos1,nos1,nos1,777.47,1209,5,GST @28%,exclusive,no_image.png,,,,,,,,,84099990,,,,,0,,
PISTON & PIN ASSY,005554075R91-PB,code128,,Default Category,nos1,nos1,nos1,879.83,1401,5,GST @28%,exclusive,no_image.png,,,,,,,,,84099112,,,,,0,,
SET BEARING CONNECTING ROD,005554088R91,code128,,Default Category,nos1,nos1,nos1,383.19,596,5,GST @18%,exclusive,no_image.png,,,,,,,,,84821090,,,,,0,,
SET CPT BEARING CONNECTING ROD,005554088R91-PB,code128,,Default Category,nos1,nos1,nos1,515.64,797,5,GST @18%,exclusive,no_image.png,,,,,,,,,84821011,,,,,0,,
PISTON AND PIN ASSEMBLY,005554096R91,code128,,Default Category,nos1,nos1,nos1,664.52,1126,5,GST @28%,exclusive,no_image.png,,,,,,,,,84099914,,,,,0,,
CRANKCASE MAJOR ASSY -265DI BS 3,005554128R91,code128,,Default Category,nos1,nos1,nos1,39960.05,62954,5,GST @28%,exclusive,no_image.png,,,,,,,,,84099949,,,,,0,,
BELT FAN,005554153R1,code128,,Default Category,nos1,nos1,nos1,147.54,252,5,GST @18%,exclusive,no_image.png,,,,,,,,,40101110,,,,,0,,
BELT FAN,005554153R1-PB,code128,,Default Category,nos1,nos1,nos1,167.62,276,5,GST @18%,exclusive,no_image.png,,,,,,,,,85030010,,,,,0,,
GASKET CYLINDER HEAD -IMPORTED,005554163R1,code128,,Default Category,nos1,nos1,nos1,945.14,1505,5,GST @18%,exclusive,no_image.png,,,,,,,,,84841090,,,,,0,,
GASKET CYLINDER HEAD -IMPORTED,005554163R1-PB,code128,,Default Category,nos1,nos1,nos1,1047.61,1725,5,GST @18%,exclusive,no_image.png,,,,,,,,,40169310,,,,,0,,
WASHER PLAIN (G14.5X30X1.6mm),005554172R1,code128,,Default Category,nos1,nos1,nos1,3.02,5,5,GST @18%,exclusive,no_image.png,,,,,,,,,73181500,,,,,0,,
HAND BR. ASSY.,005554215R91,code128,,Default Category,nos1,nos1,nos1,540.79,786,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
GUN GREASE LEVER TYP-UNIVERSAL,005554290R91,code128,,Default Category,nos1,nos1,nos1,3065.77,4673,5,GST @28%,exclusive,no_image.png,,,,,,,,,87081010,,,,,0,,
NUT HEXAGONAL (M10 X 1.5 X 8.0 X 6.6mm),005554365R1,code128,,Default Category,nos1,nos1,nos1,11.7,17,5,GST @18%,exclusive,no_image.png,,,,,,,,,73181600,,,,,0,,
COVER FRONT CRANK CASE,005554388R1,code128,,Default Category,nos1,nos1,nos1,1443.49,2098,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
GASKET INJECTION PUMP GEAR COVER,005554390R1,code128,,Default Category,nos1,nos1,nos1,14.79,23,5,GST @18%,exclusive,no_image.png,,,,,,,,,84841090,,,,,0,,
GASKET INJECTION PUMP GEAR COV,005554390R1-PB,code128,,Default Category,nos1,nos1,nos1,17.58,28,5,GST @18%,exclusive,no_image.png,,,,,,,,,40169310,,,,,0,,
BUSH CAMSHAFT FRONT-MENON,005554460R1,code128,,Default Category,nos1,nos1,nos1,23.62,36,5,GST @18%,exclusive,no_image.png,,,,,,,,,84839000,,,,,0,,
BUSH CAM SHAFT FRONT,005554460R2,code128,,Default Category,nos1,nos1,nos1,0.66,1,5,GST @18%,exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,
BUSH CAM SHAFT CENTER,005554461R1,code128,,Default Category,nos1,nos1,nos1,18.59,30,5,GST @18%,exclusive,no_image.png,,,,,,,,,84839000,,,,,0,,
BUSH CAM SHAFT REAR,005554462R1,code128,,Default Category,nos1,nos1,nos1,18.59,30,5,GST @18%,exclusive,no_image.png,,,,,,,,,84839000,,,,,0,,
HOUSING THERMOSTAT (4DI),005554507R1,code128,,Default Category,nos1,nos1,nos1,288.88,460,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089100,,,,,0,,
HOUSING THERMOSTAT,005554508R1,code128,,Default Category,nos1,nos1,nos1,290.02,451,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089100,,,,,0,,
HOUSING THERMOSTAT 3/2 CYL,005554508R1-PB,code128,,Default Category,nos1,nos1,nos1,216.73,315,5,GST @#N/A,exclusive,no_image.png,,,,,,,,,,,,,,0,,
CAP RADIATOR ASSY - BHARAT,005554582R91,code128,,Default Category,nos1,nos1,nos1,46.1,67,5,GST @18%,exclusive,no_image.png,,,,,,,,,84818050,,,,,0,,
BRACKET CLAMP MOUNTING,005554583R91,code128,,Default Category,nos1,nos1,nos1,262.87,449,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
BRACKET CLAMP MOUNTING,005554583R91-PB,code128,,Default Category,nos1,nos1,nos1,333.19,489,5,GST @18%,exclusive,no_image.png,,,,,,,,,83025000,,,,,0,,
BEADING RUBBER - LARGE,005554584R1,code128,,Default Category,nos1,nos1,nos1,26.35,45,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
BEADING RUBBER - LARGE,005554584R1-PB,code128,,Default Category,nos1,nos1,nos1,33.28,53,5,GST @18%,exclusive,no_image.png,,,,,,,,,40169990,,,,,0,,
BODY CPTE AIR-CLEANER,005554585R91,code128,,Default Category,nos1,nos1,nos1,360.64,616,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
BODY CPTE AIR-CLEANER,005554585R91-PB,code128,,Default Category,nos1,nos1,nos1,510.56,882,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
BEADING RUBBER SMALL,005554592R1,code128,,Default Category,nos1,nos1,nos1,40.4,69,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
BEADING RUBBER SMALL,005554592R1-PB,code128,,Default Category,nos1,nos1,nos1,28.1,48,5,GST @18%,exclusive,no_image.png,,,,,,,,,40169990,,,,,0,,
CAP RADIATOR ASSY,005554649R91,code128,,Default Category,nos1,nos1,nos1,76.7,131,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089100,,,,,0,,
WATER PUMP (WITH KACO SEAL),005554716R93,code128,,Default Category,nos1,nos1,nos1,1579.03,2295,5,GST @28%,exclusive,no_image.png,,,,,,,,,84133030,,,,,0,,
PULLEY ASSEMBLY,005554719R91,code128,,Default Category,nos1,nos1,nos1,438.34,698,5,GST @18%,exclusive,no_image.png,,,,,,,,,84835010,,,,,0,,
SEAL WATER PUMP UNITIZED-KACO,005554734R91,code128,,Default Category,nos1,nos1,nos1,497.95,759,5,GST @18%,exclusive,no_image.png,,,,,,,,,40169330,,,,,0,,
GASKET CYLINDER HEAD,005554767R1,code128,,Default Category,nos1,nos1,nos1,330.54,514,5,GST @18%,exclusive,no_image.png,,,,,,,,,84841090,,,,,0,,
