Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code,Purchase Unit Code,Cost,Price,Alert Quantity,Tax Rate,Tax Method,Image,Sub category Code,Product Variants,Product Custom Field 1,Product Custom Field 2,Product Custom Field 3,Product Custom Field 4,Product Custom Field 5,Product Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No.,Supplier Price,Quantity,Details,Product Details
CRANKSHAFT,0010512080-LOM,code128,,Default Category,nos1,nos1,nos1,2797.53,4066,5,GST @18%,exclusive,no_image.png,,,,,,,,,84831092,,,,,0,,
CRANKSHAFT ASSY.,0010512290-LOM,code128,,Default Category,nos1,nos1,nos1,3236.42,5528,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
CRANKSHAFT LOMBARDINI,0010514220-LOM,code128,,Default Category,nos1,nos1,nos1,3656.88,5315,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
CRANK SHAFT WITH GEAR,0010514330-LOM,code128,,Default Category,nos1,nos1,nos1,5740.14,8583,5,GST @28%,exclusive,no_image.png,,,,,,,,,84082020,,,,,0,,
WASHER COPPER,001081618R1,code128,,Default Category,nos1,nos1,nos1,7.72,12,5,GST @18%,exclusive,no_image.png,,,,,,,,,74152100,,,,,0,,
COPPER WASHER,001081618R1-PB,code128,,Default Category,nos1,nos1,nos1,8.03,12,5,GST @18%,exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,
 CIRCLIP INT - LUG 72 X 2.5,001081648R1,code128,,Default Category,nos1,nos1,nos1,5.5,8,5,GST @18%,exclusive,no_image.png,,,,,,,,,73182910,,,,,0,,
NUT NYLOC (G11.11X1.81X11.08X9mm),001081682R1,code128,,Default Category,nos1,nos1,nos1,5.27,9,5,GST @18%,exclusive,no_image.png,,,,,,,,,73181600,,,,,0,,
NUT NYLOC G11.11X1.81X11.08X8,001081682R1-PB,code128,,Default Category,nos1,nos1,nos1,6.69,10,5,GST @18%,exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,
WASHER SEAL CU G14.50X17.91X1.85,001081721R2,code128,,Default Category,nos1,nos1,nos1,6.88,10,5,GST @18%,exclusive,no_image.png,,,,,,,,,73182200,,,,,0,,
BOLT BANJO (M10X1.0X19.4mm),001081723R1,code128,,Default Category,nos1,nos1,nos1,15.22,26,5,GST @18%,exclusive,no_image.png,,,,,,,,,73181500,,,,,0,,
BOLT BANJO M10X1.0X19.3,001081723R1-PB,code128,,Default Category,nos1,nos1,nos1,23.41,35,5,GST @18%,exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,
WASHER,001081724R1,code128,,Default Category,nos1,nos1,nos1,1.38,2,5,GST @18%,exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,
