Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code,Purchase Unit Code,Cost,Price,Alert Quantity,Tax Rate,Tax Method,Image,Sub category Code,Product Variants,Product Custom Field 1,Product Custom Field 2,Product Custom Field 3,Product Custom Field 4,Product Custom Field 5,Product Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No.,Supplier Price,Quantity,Details,Product Details
ENGINE GEN THRUST WASHER,006034167H1,code128,,Default Category,nos,nos,nos,83.20147,116.1016949,,GST @18%,Exclusive,no_image.png,,,,,,,,,85044029,,,,,0,,
BOLT M12 X 70 PREVAILING TORQUE,0302DBA00180N,code128,,Default Category,nos,nos,nos,83.38568,112.7118644,,GST @18%,Exclusive,no_image.png,,,,,,,,,85044029,,,,,0,,
HOSE DRAIN INLET-CPCBII,006016308H1,code128,,Default Category,nos,nos,nos,83.5975,97.65625,,GST @28%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
GASKET CRANK CASE FRONT PLATE,005555212R1-PB,code128,,Default Category,nos,nos,nos,83.64984,104.2372881,,GST @18%,Exclusive,no_image.png,,,,,,,,,40169310,,,,,0,,
FUEL FILTER ELEMENT KIT,006001920A91,code128,,Default Category,nos,nos,nos,83.93615,122.8813559,,GST @18%,Exclusive,no_image.png,,,,,,,,,84212300,,,,,0,,
WASHER THRUST (CRANK SHAFT),000020889E05,code128,,Default Category,nos,nos,nos,83.93966,103.3898305,,GST @18%,Exclusive,no_image.png,,,,,,,,,73182200,,,,,0,,
BATTERY RETAINER,001127951R94,code128,,Default Category,nos,nos,nos,83.97568,100,,GST @28%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
NAVJEEVAN KIT,005552817R91,code128,,Default Category,nos,nos,nos,84.152,104.6875,,GST @28%,Exclusive,no_image.png,,,,,,,,,87089100,,,,,0,,
MAIN JOURNAL BEARING TOP FOR NEW65,006000281F1-PB,code128,,Default Category,nos,nos,nos,84.152,104.6875,,GST @28%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
MAIN JOURNAL BEARING BOTTOM FOR NEW65,006000282F1-PB,code128,,Default Category,nos,nos,nos,84.152,104.6875,,GST @28%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
PIPE LUBRICATION( FRT COVER TO BRG,006004882F1-PB,code128,,Default Category,nos,nos,nos,84.152,104.6875,,GST @28%,Exclusive,no_image.png,,,,,,,,,84089090,,,,,0,,
30KVA_TC INLET PIPE,006007442H91,code128,,Default Category,nos,nos,nos,84.152,113.559322,,GST @18%,Exclusive,no_image.png,,,,,,,,,85030010,,,,,0,,
 FLANGE WATER TEMP. SWITCH,006010942H1,code128,,Default Category,nos,nos,nos,84.152,113.559322,,GST @18%,Exclusive,no_image.png,,,,,,,,,90292020,,,,,0,,
SEAL  COOLANT PORT,0302CBA00090N,code128,,Default Category,nos,nos,nos,84.152,113.559322,,GST @18%,Exclusive,no_image.png,,,,,,,,,85044029,,,,,0,,
BLOWER WIREMESH,006017938H1,code128,,Default Category,nos,nos,nos,84.30624,112.5,,GST @28%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
