Product Code,Product Name,Variant,Expected,Counted
0000000K4,(USE 005555207R1)   KEY STARTER SWITCH,,10,
000000185PM,ENGINE SERVICE MANUAL - 235 DI AIR FLOW,,0,
000010561P02,BELT ALTERNATOR (NEW A35 SIZE),,0,
000010583P03,BOLT HEX (M16X2.0X40X8.8 ),,0,
000010586P02,"PIPE CPTE, FUEL SUPPLY",,0,
000010671P03,WASHER PLAIN M12,,0,
000010816P02,PIPE CPTE. FEED PUMP TO FILTER - SACTOR,,0,
000010817P02,PIPE CPTE. FILTER TO INJ PUMP - SACTOR,,0,
000012510P04,LOCK PLATE CAM,,0,
000012653P04,NUT HEX M16X2X13X10,,0,
000013086P04,ALTERNATOR 45 AMP. LUCAS,,0,
000013086P04-PB,ALTERNATOR 45 AMP. LUCAS,,0,
000013119P04,NUT (HEX M14X1.5X12.4X10),,0,
000013231P04,FILTER SUCTION LINE,,0,
000013261P04,WASHER DRAFT FEED BACK ROD,,0,
000013344P04,ALLEN SCREW,,0,
000013379P04,BOLT ALLEN (M8X30),,0,
000013427P04,CANISTER FILTER (PUROLATOR),,0,
000013494P04,COPPER WASHER FOR M14X1.5,,0,
000013797P04,(ALT 007209181D91) TANDEM PUMP ASSY GPM,,0,
000013898P04,BOLT HEXAGONAL (M12X1.75X40X10.9),,0,
000013901P04,GEAR 1ST DRIVING (SPEED),,0,
000015369RD,GASKET OIL PAN - 3 CYL,,0,
000015417RD,GASKET INTAKE MANIFOLD,,0,
000015417RD-PB,GASKET INTAKE MANIFOLD,,0,
000015448RD,GASKET AIR INTAKE (275DI),,0,
000015448RD-PB,GASKET AIR INTAKE(275DI),,0,
000015490RD,GASKET (3 DI THERMOSTAT HSG AVL),,0,
000015490RD-PB,GASKET 3 DI THERMOSTAT HSG AVL,,0,
000015496RD,HEAD CYLINDER 2 DI - S-TYPE INJECTOR,,0,
000015498RD,GASKET (CRANKCASE OIL PAN),,0,
000015498RD-PB,GASKET CRANKCASE OIL PAN 255 D,,0,
000015502RD,CRANKSHAFT STD FOR 475DI/E40/350DI  3 CY,,0,
000015525RD,SET BEARING CR'SFT 0.508 MM U/S-B,,0,
000015531RD,SET BEARING CR'SFT MAIN STD-BI,,0,
000015531RD-PB,SET BEARING CR'SFT MAIN STD-BI,,0,
000015532RD,SET BEARING CONROD 0.508 MM U/,,0,
000015533RD,SET BEARING CONROD 0.254 MM U/,,0,
000015553RD,SET BEARING CR SFT MAIN STD-BI,,0,
000015626RD,SET BEARING CON ROD STD-BIMETL,,0,
000015672RD,MANIFOLD AIR INTAKE (3DI),,0,
000015683RD,MANIFOLD AIR INTAKE (2 CYL),,0,
000015769RD,OIL PAN (2 CYLINDER),,0,
000015769RD-PB,OIL PAN CPTE CRANKCASE - 2 CYL,,0,
000015822RD,BRACKET MNTG FUEL FILTER,,0,
000015822RD-PB,BRACKET MNTG FUEL FILTER,,0,
000015916RD,SCREEN ASSY OIL PUMP,,0,
000015916RD-PB,SCREEN ASSY OIL PUMP,,0,
000015920RD,SET BEARING CR SFT 0.508 mm U/,,0,
000016115P04,OIL FILTER (TRANSMISSION),,0,
