Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code,Purchase Unit Code,Cost,Price,Alert Quantity,Tax Rate,Tax Method,Image,Sub category Code,Product Variants,Product Custom Field 1,Product Custom Field 2,Product Custom Field 3,Product Custom Field 4,Product Custom Field 5,Product Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No.,Supplier Price,Quantity,Details,Product Details
TANK RECOVERY TIER III,006008392F1,code128,,Default Category,nos,nos,nos,0.51626,0.78125,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089100,,,,,0,,
WASHER PLAIN (G10.5X21X2),000022079RD,code128,,Default Category,nos,nos,nos,0.58546,0.847457627,5,GST @18%,exclusive,no_image.png,,,,,,,,,73182200,,,,,0,,
WASHER PLAIN (G8.4X13X2),006008843B1,code128,,Default Category,nos,nos,nos,0.60337,0.847457627,5,GST @18%,exclusive,no_image.png,,,,,,,,,73181500,,,,,0,,
WASHER PLAIN (G6.4X12.5X1.6),006008901B1,code128,,Default Category,nos,nos,nos,0.60337,0.847457627,5,GST @18%,exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,
NUT HEX M8X1.0X5X8.8,E006008715C1,code128,,Default Category,nos,nos,nos,0.61981,0.847457627,5,GST @18%,exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,
BUSH CAM SHAFT FRONT,005554460R2,code128,,Default Category,nos,nos,nos,0.65606,0.847457627,5,GST @18%,exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,
WASHER SPRING LOCK (M12X22X2.6mm),005550700R1,code128,,Default Category,nos,nos,nos,1.20674,1.694915254,5,GST @18%,exclusive,no_image.png,,,,,,,,,73182100,,,,,0,,
CIRCLIP - E TYPE 8 MM - 235DI,006000888B1,code128,,Default Category,nos,nos,nos,1.20674,1.694915254,5,GST @18%,exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,
NUT M6,007204527B1,code128,,Default Category,nos,nos,nos,1.20674,1.694915254,5,GST @18%,exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,
CIRCLIP PISTON -GOETZE MAKE-MDI 3200,0312BB0571N,code128,,Default Category,nos,nos,nos,1.256,1.694915254,5,GST @18%,exclusive,no_image.png,,,,,,,,,73182910,,,,,0,,
SPRING PRESSURE - 235DI,006000887B1,code128,,Default Category,nos,nos,nos,1.31212,1.694915254,5,GST @18%,exclusive,no_image.png,,,,,,,,,73209090,,,,,0,,
SHIM GOV. FORK 0.5 MM TK - 235DI,006000916B1,code128,,Default Category,nos,nos,nos,1.31212,1.694915254,5,GST @18%,exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,
WASHER PLAIN (G6.4X12.5X1.6),2.02E+09,code128,,Default Category,nos,nos,nos,1.37606,1.694915254,5,GST @18%,exclusive,no_image.png,,,,,,,,,73181500,,,,,0,,
