Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code,Purchase Unit Code,Cost,Price,Alert Quantity,Tax Rate,Tax Method,Image,Sub category Code,Product Variants,Product Custom Field 1,Product Custom Field 2,Product Custom Field 3,Product Custom Field 4,Product Custom Field 5,Product Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No.,Supplier Price,Quantity,Details,Product Details
"CLUSTER ASSY,HPP-1,2,3,4 S/F 4 CYL.",0305DAV01140N,code128,,Default Category,nos,nos,nos,1471.404,1985.59322,,GST @18%,exclusive,no_image.png,,,,,,,,,84839000,,,,,0,,
7.5-10KVA 3PH POWER CABLE,006017811H91,code128,,Default Category,nos,nos,nos,1471.54258,1752.34375,,GST @28%,exclusive,no_image.png,,,,,,,,,84089090,,,,,0,,
BELLOW 30 KVA / 40KVA,006008678H1,code128,,Default Category,nos,nos,nos,1472.01012,1939.830508,,GST @18%,exclusive,no_image.png,,,,,,,,,85030010,,,,,0,,
AIR FILTER ASSEMBLY,006000454F91,code128,,Default Category,nos,nos,nos,1473.25475,1966.949153,,GST @18%,exclusive,no_image.png,,,,,,,,,84219900,,,,,0,,
WATER PUMP ASSEMBLY,006003264A92,code128,,Default Category,nos,nos,nos,1474.60081,2047.65625,,GST @28%,exclusive,no_image.png,,,,,,,,,84133030,,,,,0,,
EXHAUST PIPE 15KVA,006021589H91,code128,,Default Category,nos,nos,nos,1475.0736,1706.25,,GST @28%,exclusive,no_image.png,,,,,,,,,84089090,,,,,0,,
WATER PUMP ASSEMBLY,P9001039,code128,,Default Category,nos,nos,nos,1475.94466,2136.440678,,GST @18%,exclusive,no_image.png,,,,,,,,,40093100,,,,,0,,
EXHAUST FLEXIBLE PIPE 1000LTRS 15KVA SI,006016044H91,code128,,Default Category,nos,nos,nos,1480.26736,1938.983051,,GST @18%,exclusive,no_image.png,,,,,,,,,85030010,,,,,0,,
PISTON PIN,0312BBA00340N,code128,,Default Category,nos,nos,nos,1480.67892,1876.271186,,GST @18%,exclusive,no_image.png,,,,,,,,,76169990,,,,,0,,
HPP ASSEMBLY_1.8 ID_NGEF 6 CYL,006010900H91,code128,,Default Category,nos,nos,nos,1482.708,1844.53125,,GST @28%,exclusive,no_image.png,,,,,,,,,84133010,,,,,0,,
RING PISTON TOP,0312BBA00190N,code128,,Default Category,nos,nos,nos,1485.89748,1982.8125,,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
PISTON MDI CNG,0312BB0910N,code128,,Default Category,nos,nos,nos,1487.52086,1689.0625,,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
CAM SHAFT - 4 CYL DI,000022104RD,code128,,Default Category,nos,nos,nos,1493.20854,1967.79661,,GST @18%,exclusive,no_image.png,,,,,,,,,84839000,,,,,0,,
8KW DCDG PROTECTION CARD,006021257H91,code128,,Default Category,nos,nos,nos,1494.09392,1993.75,,GST @28%,exclusive,no_image.png,,,,,,,,,84099990,,,,,0,,
GROUP ASSY OIL DRAIN ARGMNT-6CYL,0303CAV00890N,code128,,Default Category,nos,nos,nos,1494.86832,1959.375,,GST @28%,exclusive,no_image.png,,,,,,,,,84099990,,,,,0,,
UNIVERSAL JOINT,2112AAA00430N,code128,,Default Category,nos,nos,nos,1496.46525,1843.220339,,GST @18%,exclusive,no_image.png,,,,,,,,,84314930,,,,,0,,
ENGINE GEN 5 KVA SILENCER ASSLY,006033378H91,code128,,Default Category,nos,nos,nos,1497.152,2020.338983,,GST @18%,exclusive,no_image.png,,,,,,,,,85044029,,,,,0,,
"GEAR, INTERMEDIATE FUEL INJECTION PUMP",0310AAV00120N,code128,,Default Category,nos,nos,nos,1500.292,2024.576271,,GST @18%,exclusive,no_image.png,,,,,,,,,84839000,,,,,0,,
