Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code,Purchase Unit Code,Cost,Price,Alert Quantity,Tax Rate,Tax Method,Image,Sub category Code,Product Variants,Product Custom Field 1,Product Custom Field 2,Product Custom Field 3,Product Custom Field 4,Product Custom Field 5,Product Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No.,Supplier Price,Quantity,Details,Product Details
CLIP WORM HOSE EPDM AC SIDE-102 DIA,006000629F1-PB,code128,,Default Category,nos,nos,nos,19.468,26.27118644,,GST @18%,exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,
"HEX FLANGED BOLT, M10X110, DIN 6921",0306DAV00090N,code128,,Default Category,nos,nos,nos,19.5866,24.57627119,,GST @18%,exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,
STICKER FOR HY TORQUE - 605DI(N moving),000033019B12,code128,,Default Category,nos,nos,nos,19.6818,25.42372881,,GST @18%,exclusive,no_image.png,,,,,,,,,39199010,,,,,0,,
PLUG SPECIAL - 235DI,006002372B1,code128,,Default Category,nos,nos,nos,19.6818,25.42372881,,GST @18%,exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,
GASKET_TC TO EXHAUST_NGEF 6 CYLINDER,006010645H1,code128,,Default Category,nos,nos,nos,19.6818,25.42372881,,GST @18%,exclusive,no_image.png,,,,,,,,,40169340,,,,,0,,
HEAT SHIELD FOR MUFFLER,E006009728D1,code128,,Default Category,nos,nos,nos,19.74175,22.65625,,GST @28%,exclusive,no_image.png,,,,,,,,,87089200,,,,,0,,
CLAMP SPRING S/F 6 CYL,0305GAV00110N,code128,,Default Category,nos,nos,nos,19.74504,23.72881356,,GST @18%,exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,
BEARING CRANK SHAFT MAIN REAR,001233523R1,code128,,Default Category,nos,nos,nos,19.83392,27.11864407,,GST @18%,exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,
NUT HEX M22 X 1.5 X15.5 X 8,006000854B1,code128,,Default Category,nos,nos,nos,19.83392,27.11864407,,GST @18%,exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,
STUD BOTHENDS M10X1.5X105X8.8,006001195H1,code128,,Default Category,nos,nos,nos,19.83392,27.11864407,,GST @18%,exclusive,no_image.png,,,,,,,,,73181900,,,,,0,,
