Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code,Purchase Unit Code,Cost,Price,Alert Quantity,Tax Rate,Tax Method,Image,Sub category Code,Product Variants,Product Custom Field 1,Product Custom Field 2,Product Custom Field 3,Product Custom Field 4,Product Custom Field 5,Product Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No.,Supplier Price,Quantity,Details,Product Details
BELLOW S/F 4 CYL. GENSET,0302DAV00500N,code128,,Default Category,nos1,nos1,nos1," 1,502.80 ",2393,5,18%,Exclusive,no_image.png,,,,,,,,,84212300,,,,,0,,
"GASKET, BELLOW S/F 4 CYL. GENSET",0302DAV00510N,code128,,Default Category,nos1,nos1,nos1, 81.72 ,121,5,18%,Exclusive,no_image.png,,,,,,,,,40169310,,,,,0,,
"PROTECTION CAP, EXH ELBOW S/F 6 CYL",0302DAV00610N,code128,,Default Category,nos1,nos1,nos1, 7.29 ,12,5,28%,Exclusive,no_image.png,,,,,,,,,84099990,,,,,0,,
PROTECTION COVER FOR EXHAUST CURVE,0302DAV00720N,code128,,Default Category,nos1,nos1,nos1, 14.44 ,23,5,28%,Exclusive,no_image.png,,,,,,,,,84099990,,,,,0,,
"GASKET, EXHAUST ELBOW-4CYL-62.5KVA",0302DAV01000N,code128,,Default Category,nos1,nos1,nos1, 39.22 ,57,5,18%,Exclusive,no_image.png,,,,,,,,,40169310,,,,,0,,
"GASKET, EXHAUST MANIF - TURBO",0302DAV01010N,code128,,Default Category,nos1,nos1,nos1, 19.08 ,29,5,18%,Exclusive,no_image.png,,,,,,,,,40169310,,,,,0,,
MANIFOLD FUEL LINE CB28,0302DAV01060N,code128,,Default Category,nos1,nos1,nos1, 307.37 ,525,5,18%,Exclusive,no_image.png,,,,,,,,,40092200,,,,,0,,
ELBOW - EXHAUST -CNG,0302DAV01210N,code128,,Default Category,nos1,nos1,nos1," 1,795.27 ",3042,5,No Tax,Exclusive,no_image.png,,,,,,,,,,,,,,0,,
GASKET EXH MANIFOLD-TC,0302DAV01240N,code128,,Default Category,nos1,nos1,nos1, 78.34 ,129,5,18%,Exclusive,no_image.png,,,,,,,,,40169310,,,,,0,,
ELBOW EXHAUST-GEN APL,0302DAV01310N,code128,,Default Category,nos1,nos1,nos1," 1,248.78 ",2116,5,28%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
EXHAUST MANIFOLD-FRONT-CNG,0302DAV01320N,code128,,Default Category,nos1,nos1,nos1," 2,746.38 ",4431,5,No Tax,Exclusive,no_image.png,,,,,,,,,,,,,,0,,
EXHAUST MANIFOLD-END-CNG,0302DAV01330N,code128,,Default Category,nos1,nos1,nos1," 2,003.23 ",3232,5,No Tax,Exclusive,no_image.png,,,,,,,,,,,,,,0,,
GASKET   EXHAUST MANIFOLD,0302DBA00141N,code128,,Default Category,nos1,nos1,nos1, 31.61 ,51,5,18%,Exclusive,no_image.png,,,,,,,,,80070090,,,,,0,,
BOLT   PREVAILING TORQUE EXH MF,0302DBA00170N,code128,,Default Category,nos1,nos1,nos1, 65.70 ,106,5,18%,Exclusive,no_image.png,,,,,,,,,85044029,,,,,0,,
BOLT M12 X 70 PREVAILING TORQUE,0302DBA00180N,code128,,Default Category,nos1,nos1,nos1, 83.39 ,133,5,18%,Exclusive,no_image.png,,,,,,,,,85044029,,,,,0,,
EXHAUST MANIFOLD   REAR,0302DBA00210N,code128,,Default Category,nos1,nos1,nos1," 1,763.42 ",2563,5,18%,Exclusive,no_image.png,,,,,,,,,85044029,,,,,0,,
SPACER   EXHAUST MANIFOLD BOLT,0302DBA00240N,code128,,Default Category,nos1,nos1,nos1, 45.41 ,66,5,18%,Exclusive,no_image.png,,,,,,,,,85044029,,,,,0,,
FLYWHEEL HOUSING,0302EAV00010N,code128,,Default Category,nos1,nos1,nos1," 4,321.90 ",6882,5,18%,Exclusive,no_image.png,,,,,,,,,84835090,,,,,0,,
FLYWHEEL HOUSING COVER,0302EAV00020N,code128,,Default Category,nos1,nos1,nos1, 9.65 ,16,5,18%,Exclusive,no_image.png,,,,,,,,,84663020,,,,,0,,
CAP,0302EAV00030N,code128,,Default Category,nos1,nos1,nos1, 7.67 ,13,5,28%,Exclusive,no_image.png,,,,,,,,,84099990,,,,,0,,
"SERRATED FLANGED HEX BOLT, M12X30X1.75",0302EAV00040N,code128,,Default Category,nos1,nos1,nos1, 17.39 ,26,5,28%,Exclusive,no_image.png,,,,,,,,,84099941,,,,,0,,
SERRATED FLNGD HEX BOLT-M6X12,0302EAV00050N,code128,,Default Category,nos1,nos1,nos1, 3.44 ,5,5,18%,Exclusive,no_image.png,,,,,,,,,73181500,,,,,0,,
