Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code,Purchase Unit Code,Cost,Price,Alert Quantity,Tax Rate,Tax Method,Image,Sub category Code,Product Variants,Product Custom Field 1,Product Custom Field 2,Product Custom Field 3,Product Custom Field 4,Product Custom Field 5,Product Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No.,Supplier Price,Quantity,Details,Product Details
WATER PUMP LOW DISCHARGE,006003264A93-PB,code128,,Default Category,nos,nos,nos,1828.81,3031,5,GST @28%,exclusive,no_image.png,,,,,,,,,84133030,,,,,0,,
WATER PUMP LOW DISCHARGE,006003264A94-PB,code128,,Default Category,nos,nos,nos,1852.61,2989,5,GST @28%,exclusive,no_image.png,,,,,,,,,84099990,,,,,0,,
WATER PUMP,006003265A91,code128,,Default Category,nos,nos,nos,1325.9,2021,5,GST @28%,exclusive,no_image.png,,,,,,,,,84133030,,,,,0,,
WATER PUMP ASSEMBLY,006003265A92,code128,,Default Category,nos,nos,nos,1755.16,2551,5,GST @28%,exclusive,no_image.png,,,,,,,,,84133030,,,,,0,,
WATER PUMP ASSEMBLY,006003265A93,code128,,Default Category,nos,nos,nos,1732.46,2518,5,GST @28%,exclusive,no_image.png,,,,,,,,,87081010,,,,,0,,
PUMP WATER  ASSEMBLY (MDI),006003265A94,code128,,Default Category,nos,nos,nos,2734.98,4253,5,GST @28%,exclusive,no_image.png,,,,,,,,,84133030,,,,,0,,
WATER_PUMP_ASSY_HD_MDI_SFL,006003265A94-PB,code128,,Default Category,nos,nos,nos,2402.52,3956,5,GST @28%,exclusive,no_image.png,,,,,,,,,84099990,,,,,0,,
WATER_PUMP_ASSY_HD_MDI_SFL,006003265A95-PB,code128,,Default Category,nos,nos,nos,1791.06,2852,5,GST @28%,exclusive,no_image.png,,,,,,,,,84133030,,,,,0,,
PUMP WATER ASSEMBLY (MDI),006003265A96,code128,,Default Category,nos,nos,nos,2675.75,3889,5,GST @28%,exclusive,no_image.png,,,,,,,,,84133030,,,,,0,,
WATER PUMP MDI,006003265A96-PB,code128,,Default Category,nos,nos,nos,2546.45,4193,5,GST @28%,exclusive,no_image.png,,,,,,,,,84099990,,,,,0,,
PULLEY FAN DRIVE 3DI,006003266A1,code128,,Default Category,nos,nos,nos,852.2,1357,5,GST @18%,exclusive,no_image.png,,,,,,,,,84835010,,,,,0,,
FIP 374  MODEL 5520,006003271F1,code128,,Default Category,nos,nos,nos,38613.07,58856,5,GST @28%,exclusive,no_image.png,,,,,,,,,84133010,,,,,0,,
PIPE CPTE OIL COOLER INLET-575LS GENSET,006003272H1,code128,,Default Category,nos,nos,nos,112.41,179,5,GST @28%,exclusive,no_image.png,,,,,,,,,87081010,,,,,0,,
PIPE CPTE OIL COOLER OUTLET-575LS GENSET,006003273H1,code128,,Default Category,nos,nos,nos,136.46,208,5,GST @28%,exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
F.I.P FOR 4575GM ( Mico No :-462),006003304H91,code128,,Default Category,nos,nos,nos,23613.36,40333,5,GST @28%,exclusive,no_image.png,,,,,,,,,84133010,,,,,0,,
GTL B CHECK KIT 3305GM 20 KVA M&M,006003305GMB91,code128,,Default Category,nos,nos,nos,274.17,393,5,GST @18%,exclusive,no_image.png,,,,,,,,,85030010,,,,,0,,
GTL C CHECK KIT 3305GM 20 KVA,006003305GMC91,code128,,Default Category,nos,nos,nos,362.08,519,5,GST @18%,exclusive,no_image.png,,,,,,,,,85030010,,,,,0,,
