Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code,Purchase Unit Code,Cost,Price,Alert Quantity,Tax Rate,Tax Method,Image,Sub category Code,Product Variants,Product Custom Field 1,Product Custom Field 2,Product Custom Field 3,Product Custom Field 4,Product Custom Field 5,Product Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No.,Supplier Price,Quantity,Details,Product Details
TURBOCHARGER,0305GAV00010N,code128,,Default Category,nos1,nos1,nos1,19547.88,31127.2,5,GST @18%,exclusive,no_image.png,,,,,,,,,84148030,,,,,0,,
INLET TURBOCHARGER OIL TUBE BSIV,0305GAV00020N,code128,,Default Category,nos1,nos1,nos1,219.17,349,5,GST @28%,exclusive,no_image.png,,,,,,,,,87079000,,,,,0,,
"TUBE,TURBOCHARGER OIL RETURN BSIV",0305GAV00030N,code128,,Default Category,nos1,nos1,nos1,311.49,496,5,GST @28%,exclusive,no_image.png,,,,,,,,,84099990,,,,,0,,
COVER    (Protective Cap),0305GAV00050N,code128,,Default Category,nos1,nos1,nos1,6.56,10,5,GST @28%,exclusive,no_image.png,,,,,,,,,84099990,,,,,0,,
"HOSE, TURBOCHARGER OIL RETURN STD",0305GAV00060N,code128,,Default Category,nos1,nos1,nos1,59.03,94,5,GST @18%,exclusive,no_image.png,,,,,,,,,40092200,,,,,0,,
"TUBE, OUTLET OIL BSIV",0305GAV00070N,code128,,Default Category,nos1,nos1,nos1,52.75,84,5,GST @28%,exclusive,no_image.png,,,,,,,,,84099990,,,,,0,,
"GASKET, TURBO OIL RETURN",0305GAV00080N,code128,,Default Category,nos1,nos1,nos1,13.82,22,5,GST @18%,exclusive,no_image.png,,,,,,,,,40169310,,,,,0,,
clamp,0305GAV00090N,code128,,Default Category,nos1,nos1,nos1,298.59,428,5,GST @18%,exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,
"CLAMP, T-BOLT",0305GAV00090NI,code128,,Default Category,nos1,nos1,nos1,183.7,280,5,GST @18%,exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,
"BRACKET, TURBOCHARGER SUPPORT",0305GAV00100N,code128,,Default Category,nos1,nos1,nos1, -   ,592,5,GST @18%,exclusive,no_image.png,,,,,,,,,83025000,,,,,0,,
CLAMP SPRING S/F 6 CYL,0305GAV00110N,code128,,Default Category,nos1,nos1,nos1,19.75,28,5,GST @18%,exclusive,no_image.png,,,,,,,,,73181110,,,,,0,,
