Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code,Purchase Unit Code,Cost,Price,Alert Quantity,Tax Rate,Tax Method,Image,Sub category Code,Product Variants,Product Custom Field 1,Product Custom Field 2,Product Custom Field 3,Product Custom Field 4,Product Custom Field 5,Product Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No.,Supplier Price,Quantity,Details,Product Details
"FILL PIPE HOSE,RADIATOR",006019351H1,code128,,Default Category,nos,nos,nos,566.456,764.4067797,,GST @18%,Exclusive,no_image.png,,,,,,,,,40091100,,,,,0,,
MANIFOLD EXHAUST,003042719R1,code128,,Default Category,nos,nos,nos,567.8962,757.8125,,GST @28%,Exclusive,no_image.png,,,,,,,,,84099949,,,,,0,,
CYLINDER SLEEVE RD 0 ( Zero ),0302AB0440N,code128,,Default Category,nos,nos,nos,568.14796,676.5625,,GST @28%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
"GEAR, AIR COMPRESSOR",0306EAV00030N,code128,,Default Category,nos,nos,nos,568.31278,700,,GST @18%,Exclusive,no_image.png,,,,,,,,,84839000,,,,,0,,
FILTER SUCTION LINE,000013231P04,code128,,Default Category,nos,nos,nos,568.79871,856.779661,,GST @18%,Exclusive,no_image.png,,,,,,,,,84212300,,,,,0,,
SWITCH_LIQUID LEVEL_7.5KVA,006011285H1,code128,,Default Category,nos,nos,nos,570.76582,835.5932203,,GST @18%,Exclusive,no_image.png,,,,,,,,,85030010,,,,,0,,
SLEEVE CYLINDER LS GRADE 3,005557311H1,code128,,Default Category,nos,nos,nos,571.0649,648.4375,,GST @28%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
SURGE SUPPRESSOR FOR63/80/100A 4P CONTAC,006025661H91,code128,,Default Category,nos,nos,nos,571.42826,680.46875,,GST @28%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
BRACKET ENGINE MTG FRONT R.H.,006003972H11,code128,,Default Category,nos,nos,nos,572.736,772.8813559,,GST @18%,Exclusive,no_image.png,,,,,,,,,83025000,,,,,0,,
PRIMARY ELEMENT,006008799F1,code128,,Default Category,nos,nos,nos,573.81702,706.779661,,GST @18%,Exclusive,no_image.png,,,,,,,,,84219900,,,,,0,,
ASSLY VALVE DRIVE LUB TUBE_I6 Oil Cooler,0303EAV00530N,code128,,Default Category,nos,nos,nos,573.992,774.5762712,,GST @18%,Exclusive,no_image.png,,,,,,,,,84212300,,,,,0,,
PULLEY FAN DRIVE (4 CYLINDER),005555051R1,code128,,Default Category,nos,nos,nos,574.33626,831.3559322,,GST @18%,Exclusive,no_image.png,,,,,,,,,84835010,,,,,0,,
SPARK PLUG - CNG,0308CAV00010N,code128,,Default Category,nos,nos,nos,574.56387,724.21875,,GST @28%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
ECU HARNESS SEDEMAC,006014058H91,code128,,Default Category,nos,nos,nos,576.504,717.1875,,GST @28%,Exclusive,no_image.png,,,,,,,,,84099990,,,,,0,,
ENGINE RECOVERY BOTTLE MOUNTING BRACKET,006033344H1,code128,,Default Category,nos,nos,nos,577.04311,788.9830508,,GST @18%,Exclusive,no_image.png,,,,,,,,,85030010,,,,,0,,
MANIFOLD AIR INTAKE (3DI),000015672RD,code128,,Default Category,nos,nos,nos,577.76,718.75,,GST @28%,Exclusive,no_image.png,,,,,,,,,84099949,,,,,0,,
HIGH PRESSURE PIPE (ID 2),006007682H91-PB,code128,,Default Category,nos,nos,nos,577.76,718.75,,GST @28%,Exclusive,no_image.png,,,,,,,,,84099990,,,,,0,,
FUEL HOSE SETS FOR MARINE 440,93700040-LOM,code128,,Default Category,nos,nos,nos,577.76,718.75,,GST @28%,Exclusive,no_image.png,,,,,,,,,84099990,,,,,0,,
SET BRG CR SFT MAIN STD-B-2 CY,005554025R91,code128,,Default Category,nos,nos,nos,577.98886,746.6101695,,GST @18%,Exclusive,no_image.png,,,,,,,,,84821090,,,,,0,,
"END ASSY. TIE ROD, ADJ. ROD QH",000041658C08,code128,,Default Category,nos,nos,nos,580.6131,691.40625,,GST @28%,Exclusive,no_image.png,,,,,,,,,87089400,,,,,0,,
THINNER RING SET FOR SINGLE PISTON BS3A,006012907B91-PB,code128,,Default Category,nos,nos,nos,580.9,722.65625,,GST @28%,Exclusive,no_image.png,,,,,,,,,84099990,,,,,0,,
ASSLEMBLY HIGH PRESSURE PIPES,006004901F91,code128,,Default Category,nos,nos,nos,581.26916,692.1875,,GST @28%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
"TUBE, ENGINE OIL FILL - GENSET",0303BAV00300N,code128,,Default Category,nos,nos,nos,581.528,723.4375,,GST @28%,Exclusive,no_image.png,,,,,,,,,84099990,,,,,0,,
OIL PAN 2 DI EMBOSSED,006007566H91,code128,,Default Category,nos,nos,nos,582.156,724.21875,,GST @28%,Exclusive,no_image.png,,,,,,,,,84099941,,,,,0,,
HOSE (L-PORT POWER STEERING),008003744C91,code128,,Default Category,nos,nos,nos,582.58128,752.5423729,,GST @18%,Exclusive,no_image.png,,,,,,,,,40091100,,,,,0,,
RELAY CARD PCBP81A 12VDC 2CH 2C/O,006025639H91,code128,,Default Category,nos,nos,nos,582.76141,717.7966102,,GST @18%,Exclusive,no_image.png,,,,,,,,,85030010,,,,,0,,
B12 E-GOVERNOR MOUNTING BRACKET ASSEMBLY,006021556H91,code128,,Default Category,nos,nos,nos,582.784,725,,GST @28%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
CYLINDER LINER VNEF,000021637E11,code128,,Default Category,nos,nos,nos,584.54946,755.0847458,,GST @18%,Exclusive,no_image.png,,,,,,,,,84209900,,,,,0,,
GEAR CRANKSHAFT,006000871F1,code128,,Default Category,nos,nos,nos,584.668,788.9830508,,GST @18%,Exclusive,no_image.png,,,,,,,,,84834000,,,,,0,,
"DE VENT COVER ""G1R 315 SAE 1/2, 3",006020326H91,code128,,Default Category,nos,nos,nos,584.87454,780.46875,,GST @28%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
POWER CONTACTOR 3P-25A-AC1 DUTY 220VAC,006007854H91,code128,,Default Category,nos,nos,nos,585.296,728.125,,GST @28%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
OIL PRESSURE TRANSDUCER,P2605420,code128,,Default Category,nos,nos,nos,585.51353,664.84375,,GST @28%,Exclusive,no_image.png,,,,,,,,,87089900,,,,,0,,
