BAS003 (NISNAPARA)
GOUR02 (GAURIPUR)
HOW002 (HAULI)
BON004 (BONGAIGAON)
TNBRI1 (TIYAMARI)
BILPR6 (BILASHIPARA)
GOSG04 (GOSSAIGAON)
HLKRA1 (HALAKURA)
CHNGA2 (CHENGA 02)
BAHRI1 (BOHARI)
BAHRI2 (BOHARI)
ABHPY2 (ABHYAPURI)
BAR018 (BARPETA)
SMTL01 (RANGJULI)
AKAYA1 (AKAYA)
BLPBR1 (BILASHIPARA (BARPETA))
AMBAR1 (AMBARI PART- 02)
CHCHP1 (FULACHAR PART-3)
HLKRA2 (HALAKURA)
BON026 (BONGAIGAON)
GHLJR2 (GHILAJARI)
HOW003 (HAULI)
KOK012 (KOKRAJHAR 12)
STOKR1 (GANAKPARA)
KRAGI1 (CHAPARBARI)
GOUR06 (GAURIPUR)
BILPR8 (BILASHIPARA)
KYKCH3 (KOYAKUCHI)
KUSKT2 (KUSHAKATI)
CHAP02 (CHAPAR)
AGMNI4 (AGOMONI)
UPTLA1 (UPARTOLA)
SLCHW3 (TALGURI)
BON014 (BONGAIGAON)
DMRA02 (DAMRA)
PTKTA5 (PATAKATA)
PATS01 (PATSALA)
BON020 (BONGAIGAON)
DRNG02 (ANANDABAZAR)
BON016 (BONGAIGAON)
AMGRI2 (AMGURI)
PATS06 (PATSALA)
CHKNI2 (CHIKNI)
DUTPR3 (DOMGAON)
BALMR2 (BALLIMARI)
DHLGN1 (DOLAGAON)
BKRBR1 (ASHRABARI)
GRMAG1 (MOIRAMARI)
GORGN1 (GORAGAON)
KTJHR1 (KATAJHAR)
GOUR07 (GAURIPUR)
KOK006 (KOKRAJHAR 06)
KOK008 (KOKRAJHAR 08)
BAR007 (BARPETA)
BON007 (BONGAIGAON)
BAR015 (BARPETA)
BGRIB1 (BOGRIBARI)
KOK010 (KOKRAJHAR 10)
SALA01 (SALAKATI)
BAS001 (BASUGAON)
BAS002 (BASUGAON)
BON010 (BONGAIGAON)
DARKA1 (DARKA)
BHRBR1 (BHERBHERI)
SORBG3 (SARBHOG)
BAR012 (BARPETA)
DHU004 (DHUBRI 04)
DHU007 (DHUBRI 07)
GOLP05 (GOALPARA)
BILPRB (BILASHIPARARBSC)
DNGRA1 (DONGRA)
HRBNA1 (HARABHANGA)
BAR005 (BARPETA 05)
GUGCH1 (GUWAGACHA)
BILPR5 (BILASHIPARA)
BAR006 (BARPETA)
MNKCH3 (MANIKACHAR)
AGMND1 (AGMONDIYA)
GOLP01 (GOALPARA)
